mcs	time(hr)	hep1.dict['APAP']	hep1.dict['APAPG']	hep1.dict['APAPS']	blood1.dict['APAP']	blood1.dict['APAPG']	blood1.dict['APAPS']	PBPKspeciesDictAPAP['CLiver']	PBPKspeciesDictAPAPG['CLiver']	PBPKspeciesDictAPAPS['CLiver']	PBPKspeciesDictAPAP['CVen']	PBPKspeciesDictAPAPG['CVen']	PBPKspeciesDictAPAPS['CVen']	PBPKspeciesDictAPAP['CTubules']	PBPKspeciesDictAPAPG['CTubules']	PBPKspeciesDictAPAPS['CTubules']	SUBCELLspeciesDict['APAP']	SUBCELLspeciesDict['APAPconj_Glu']	SUBCELLspeciesDict['APAPconj_Sul']	SUBCELLspeciesDict['NAPQI']	SUBCELLspeciesDict['NAPQIGSH']	SUBCELLspeciesDict['GSH']
1080	0.3	0.0237768983886	0.00798377374661	0.00396325218066	0.105397892633	0.00304345046669	0.00738071659185	0.000180609828815	5.21525671972e-06	1.26475959518e-05	0.00025459651674	2.29921639167e-06	6.8844064764e-06	7.65525388132e-06	5.84092765406e-07	2.23578221246e-06	0.0237768983886	0.00798377374661	0.00396325218066	3.61533179766e-09	2.43676681668e-06	9.99999765602
1140	0.316666666667	0.0241705189451	0.00860843904679	0.00416435380148	0.104947946667	0.00338994614742	0.0080954473633	0.000179838801408	5.80901171821e-06	1.38723586017e-05	0.00025944228999	2.62780780152e-06	7.77216550988e-06	8.30314287425e-06	7.174613535e-07	2.72375366982e-06	0.0241705189451	0.00860843904679	0.00416435380148	3.67432376235e-09	2.65550413453e-06	9.99999745196
1200	0.333333333333	0.0245151515375	0.00922913719529	0.00435270284707	0.104490565299	0.00374842447571	0.00881837691021	0.000179055032697	6.42330018158e-06	1.51111706733e-05	0.00026411054155	2.97748638922e-06	8.69638027755e-06	8.96335970611e-06	8.70099554739e-07	3.27538155759e-06	0.0245151515375	0.00922913719529	0.00435270284707	3.72594703559e-09	2.87755360565e-06	9.99999724582
1260	0.35	0.0248163164833	0.00984438076388	0.00452853858277	0.104028276481	0.00411801251242	0.00954732180452	0.000178262854577	7.05662624129e-06	1.63602906442e-05	0.000268609933505	3.34774566056e-06	9.65334524292e-06	9.63545227088e-06	1.04326240459e-06	3.89334165053e-06	0.0248163164833	0.00984438076388	0.00452853858277	3.77103917209e-09	3.10249887434e-06	9.99999703803
1320	0.366666666667	0.0250789181022	0.0104529028811	0.00469220679681	0.103562758025	0.00449789994293	0.0102803409965	0.000177465142152	7.70760134221e-06	1.76163923316e-05	0.000272947401035	3.73805185095e-06	1.06394714897e-05	1.03189906535e-05	1.23817526885e-06	4.58004126504e-06	0.0250789181022	0.0104529028811	0.00469220679681	3.81034267669e-09	3.32997092115e-06	9.99999682896
1380	0.383333333333	0.0253073104131	0.0110536308258	0.00484413255339	0.103095127882	0.00488733479519	0.0110157112733	0.000176663811139	8.37493690504e-06	1.8876522838e-05	0.000277128715408	4.14785013566e-06	1.16513109168e-05	1.10135626848e-05	1.45603214897e-06	5.33762728123e-06	0.0253073104131	0.0110536308258	0.00484413255339	3.84451549686e-09	3.55964268026e-06	9.99999661895
1440	0.4	0.0255053570361	0.0116456626001	0.00498479779945	0.102626134954	0.00528561904977	0.0117519048879	0.000175860144858	9.05743680368e-06	2.01380642159e-05	0.000281158854585	4.57656987062e-06	1.26855734048e-05	1.17187709472e-05	1.6979943682e-06	6.16799601504e-06	0.0255053570361	0.0116456626001	0.00498479779945	3.87414050214e-09	3.79122425591e-06	9.99999640829
1500	0.416666666667	0.0256764853289	0.0122282461778	0.00511472307111	0.102156284568	0.00569210432233	0.0124875693049	0.000175055009235	9.75398996675e-06	2.13986987609e-05	0.000285042247401	5.02362903148e-06	1.37391382455e-05	1.24342307333e-05	1.96518957885e-06	7.0728044145e-06	0.0256764853289	0.0122282461778	0.00511472307111	3.89973398682e-09	4.02445867827e-06	9.99999619724
1560	0.433333333333	0.0258237350162	0.0128007611403	0.00523445265055	0.101685921008	0.00610618773012	0.0132215089445	0.000174248994239	1.04635632943e-05	2.26563777272e-05	0.000288782934696	5.48843798448e-06	1.48090609255e-05	1.31595686347e-05	2.25871104123e-06	8.05348215044e-06	0.0258237350162	0.0128007611403	0.00523445265055	3.92175325781e-09	4.25911814146e-06	9.99999598604
1620	0.45	0.0259498016854	0.0133627024395	0.00534454261808	0.101215281842	0.0065273080068	0.0139526687723	0.000173442506964	1.11851950005e-05	2.39092932081e-05	0.000292384675848	5.97040269578e-06	1.58925761771e-05	1.38944215447e-05	2.57961713326e-06	9.11124425285e-06	0.0259498016854	0.0133627024395	0.00534454261808	3.94060338397e-09	4.49500067151e-06	9.99999577488
