mcs	time(hr)	hep1.dict['APAP']	hep1.dict['APAPG']	hep1.dict['APAPS']	blood1.dict['APAP']	blood1.dict['APAPG']	blood1.dict['APAPS']	PBPKspeciesDictAPAP['CLiver']	PBPKspeciesDictAPAPG['CLiver']	PBPKspeciesDictAPAPS['CLiver']	PBPKspeciesDictAPAP['CVen']	PBPKspeciesDictAPAPG['CVen']	PBPKspeciesDictAPAPS['CVen']	PBPKspeciesDictAPAP['CTubules']	PBPKspeciesDictAPAPG['CTubules']	PBPKspeciesDictAPAPS['CTubules']	SUBCELLspeciesDict['APAP']	SUBCELLspeciesDict['APAPconj_Glu']	SUBCELLspeciesDict['APAPconj_Sul']	SUBCELLspeciesDict['NAPQI']	SUBCELLspeciesDict['NAPQIGSH']	SUBCELLspeciesDict['GSH']
8880	2.46666666667	0.194133095394	0.227344066203	0.0310516553675	0.083450968604	0.0643806889115	0.0459235507189	0.0001430015798	0.000110322748519	7.86945965118e-05	0.000407829089859	9.95316979323e-05	7.32948041193e-05	0.000141739867327	0.000384819454247	0.000457075461212	0.194133095394	0.227344066203	0.0310516553675	2.61894666334e-06	0.0224600722726	9.9848233251
8940	2.48333333333	0.194011557314	0.227386101566	0.0310399246881	0.0831953924076	0.0647144514934	0.0460120287257	0.00014256362443	0.000110894684079	7.88462124243e-05	0.000406967364857	0.000100138559846	7.34565894013e-05	0.000142777510296	0.000390715311001	0.000462367381144	0.194011557314	0.227386101566	0.0310399246881	2.61753828747e-06	0.0226169344609	9.98475772037
9000	2.5	0.193890040054	0.227423633904	0.0310281894899	0.0829399506553	0.0650455296627	0.0460988939559	0.000142125899443	0.00011146201963	7.89950646829e-05	0.000406098367542	0.000100740894423	7.36154877179e-05	0.00014381296046	0.000396647196884	0.000467671018353	0.193890040054	0.227423633904	0.0310281894899	2.61612977911e-06	0.0227737112407	9.98469259324
9060	2.51666666667	0.19376854382	0.227456783298	0.0310164498548	0.0826846441111	0.065373934291	0.0461841703647	0.000141688406149	0.000112024773801	7.91411943369e-05	0.000405222283458	0.000101338711213	7.37715419441e-05	0.000144846199322	0.000402614843347	0.000472986163842	0.19376854382	0.227456783298	0.0310164498548	2.61472114172e-06	0.0229304026125	9.98462794085
9120	2.53333333333	0.193647068797	0.227485666634	0.0310047058577	0.082429473521	0.0656996764328	0.0462678815504	0.000141251145826	0.000112582965535	7.92846418247e-05	0.000404339293868	0.000101932020377	7.39247943185e-05	0.000145877208857	0.000408617982404	0.00047831261172	0.193647068797	0.227485666634	0.0310047058577	2.61331237846e-06	0.0230870085775	9.98456376036
9180	2.55	0.193525615148	0.227510397689	0.0309929575671	0.0821744396138	0.0660227673166	0.0463500507602	0.000140814119722	0.000113136614074	7.94254469827e-05	0.000403449575855	0.000102520832661	7.40752864529e-05	0.000146905971498	0.000414656346666	0.000483650159153	0.193525615148	0.227510397689	0.0309929575671	2.61190349224e-06	0.0232435291365	9.98450004896
9240	2.56666666667	0.193404183011	0.227531087213	0.0309812050456	0.0819195431014	0.0663432183372	0.0464307008952	0.000140377329059	0.000113685738943	7.9563649054e-05	0.000402553302418	0.000103105159378	7.42230593411e-05	0.000147932470132	0.000420729669374	0.000488998606318	0.193404183011	0.227531087213	0.0309812050456	2.61049448572e-06	0.0233999642907	9.98443680382
9300	2.58333333333	0.19328277251	0.22754784301	0.0309694483503	0.0816647846794	0.066661041047	0.0465098545155	0.000139940775027	0.000114230359938	7.96992866977e-05	0.000401650642565	0.000103685012384	7.43681533682e-05	0.000148956688084	0.000426837684435	0.000494357756362	0.19328277251	0.22754784301	0.0309694483503	2.60908536131e-06	0.0235563140413	9.98437402216
9360	2.6	0.193161383743	0.227560770011	0.0309576875331	0.0814101650271	0.0669762471487	0.0465875338451	0.00013950445879	0.000114770497114	7.98323979969e-05	0.000400741761406	0.000104260404056	7.45106083189e-05	0.00014997860911	0.000432980126454	0.000499727415354	0.193161383743	0.227560770011	0.0309576875331	2.60767612118e-06	0.0237125783897	9.98431170121
9420	2.61666666667	0.193040016794	0.227569970359	0.0309459226412	0.0811556848085	0.0672888484872	0.046663760777	0.000139068381488	0.000115306170768	7.99630204675e-05	0.000399826820243	0.000104831347273	7.4650463387e-05	0.000150998217385	0.000439156730763	0.000505107392245	0.193040016794	0.227569970359	0.0309459226412	2.60626676728e-06	0.0238687573372	9.98424983821
9480	2.63333333333	0.192918671726	0.227575543474	0.0309341537172	0.0809013446723	0.067598857043	0.0467385568782	0.00013863254423	0.000115837401429	8.00911910664e-05	0.000398905976658	0.000105397855397	7.47877571834e-05	0.000152015497495	0.000445367233457	0.000510497498822	0.192918671726	0.227575543474	0.0309341537172	2.60485730134e-06	0.0240248508853	9.98418843042
9540	2.65	0.192797348588	0.227577586129	0.0309223807998	0.0806471452525	0.0679062849243	0.0468119433941	0.000138196948105	0.000116364209846	8.02169462001e-05	0.0003979793846	0.000105959942251	7.49225277449e-05	0.000153030434426	0.000451611371413	0.000515897549667	0.192797348588	0.227577586129	0.0309223807998	2.60344772491e-06	0.0241808590354	9.98412747511
9600	2.66666666667	0.192676047408	0.227576192521	0.0309106039235	0.0803930871687	0.0682111443604	0.0468839412536	0.000137761594172	0.000116886616976	8.03403217321e-05	0.000397047194466	0.000106517622104	7.50548125425e-05	0.000154043013558	0.000457888882329	0.000521307362117	0.192676047408	0.227576192521	0.0309106039235	2.60203803928e-06	0.0243367817891	9.98406696958
