mcs	time(hr)	hep1.dict['APAP']	hep1.dict['APAPG']	hep1.dict['APAPS']	blood1.dict['APAP']	blood1.dict['APAPG']	blood1.dict['APAPS']	PBPKspeciesDictAPAP['CLiver']	PBPKspeciesDictAPAPG['CLiver']	PBPKspeciesDictAPAPS['CLiver']	PBPKspeciesDictAPAP['CVen']	PBPKspeciesDictAPAPG['CVen']	PBPKspeciesDictAPAPS['CVen']	PBPKspeciesDictAPAP['CTubules']	PBPKspeciesDictAPAPG['CTubules']	PBPKspeciesDictAPAPS['CTubules']	SUBCELLspeciesDict['APAP']	SUBCELLspeciesDict['APAPconj_Glu']	SUBCELLspeciesDict['APAPconj_Sul']	SUBCELLspeciesDict['NAPQI']	SUBCELLspeciesDict['NAPQIGSH']	SUBCELLspeciesDict['GSH']
600	0.166666666667	0.225956231359	0.0398628096526	0.0224409094299	0.0976201599953	0.000194113303048	0.000935650534471	0.000167281906168	3.32632556102e-07	1.60333075587e-06	0.000184146816789	1.12188789552e-07	6.32046906315e-07	2.53766248964e-06	1.29859513688e-08	9.18337803689e-08	0.225956231359	0.0398628096526	0.0224409094299	2.97579922302e-06	0.00102205163851	9.99899908366
660	0.183333333333	0.239988863035	0.0469887781814	0.0257940493662	0.0985343293469	0.000242154896551	0.00114525763477	0.000168848426769	4.14956630729e-07	1.96251348295e-06	0.000192144954576	1.46184761185e-07	8.16180640509e-07	3.00624962456e-06	1.93692208275e-08	1.35827615665e-07	0.239988863035	0.0469887781814	0.0257940493662	3.13239147418e-06	0.00120538267123	9.99882228488
720	0.2	0.25276687745	0.0544516112842	0.0291904875357	0.0992004404954	0.00029522192489	0.00137237986455	0.000169989874833	5.05892290492e-07	2.3517101359e-06	0.00019957410328	1.85404754085e-07	1.02606953284e-06	3.49521518329e-06	2.77185197135e-08	1.92836232731e-07	0.25276687745	0.0544516112842	0.0291904875357	3.27251254062e-06	0.00139759877781	9.99863768578
780	0.216666666667	0.264404756485	0.062213550979	0.0326130904426	0.099685831512	0.000353162695712	0.00161613528092	0.000170821640879	6.05179595371e-07	2.76940941739e-06	0.000206558154893	2.29971179362e-07	1.26168895709e-06	4.00310080232e-06	3.83420855498e-08	2.64717555634e-07	0.264404756485	0.062213550979	0.0326130904426	3.39813469819e-06	0.00159777218303	9.99844625796
840	0.233333333333	0.27500646784	0.0702411872303	0.0360477400648	0.100036255695	0.000415830432666	0.00187571302635	0.00017142212776	7.12567029416e-07	3.21422184195e-06	0.000213181078361	2.79982706584e-07	1.52286833107e-06	4.52876706248e-06	5.15556737438e-08	3.53329798006e-07	0.27500646784	0.0702411872303	0.0360477400648	3.5109548664e-06	0.0018050849649	9.99824885769
900	0.25	0.284666209701	0.0785048797623	0.0394827428378	0.10028324365	0.000483085568084	0.00215036177811	0.000171845366319	8.27815429469e-07	3.68485994297e-06	0.000219500209886	3.35519115431e-07	1.80932099783e-06	5.07129050984e-06	6.76811404294e-08	4.60520599779e-07	0.284666209701	0.0785048797623	0.0394827428378	3.61243765119e-06	0.00201881386273	9.99804624174
960	0.266666666667	0.293469232583	0.0869782659334	0.042908374415	0.100448864676	0.000554796710844	0.00243937949703	0.000172129174508	9.50699643702e-07	4.18012070611e-06	0.000225555250068	3.96644348077e-07	2.12066654047e-06	5.62989514638e-06	8.70452715685e-08	5.88118284173e-07	0.293469232583	0.0869782659334	0.042908374415	3.70385155377e-06	0.00223831745812	9.99783908077
1020	0.283333333333	0.30149266156	0.0956378416655	0.0463165246946	0.100548840105	0.000630840910519	0.00274210505622	0.000172300492404	1.08100898427e-06	4.69887122433e-06	0.000231374206751	4.63408789699e-07	2.45644869623e-06	6.20390702485e-06	1.09978809932e-07	7.37924814276e-07	0.30149266156	0.0956378416655	0.0463165246946	3.78629919424e-06	0.0024630253435	9.99762797064
1080	0.3	0.308806280142	0.104462603938	0.0497004178672	0.100594599234	0.000711103479411	0.00305791157097	0.000172378905248	1.21854692232e-06	5.24003726801e-06	0.000236977307238	5.3585107143e-07	2.81615000806e-06	6.79272414281e-06	1.3681562645e-07	9.11710099306e-07	0.308806280142	0.104462603938	0.0497004178672	3.86074246547e-06	0.00269242894697	9.99741344199
1140	0.316666666667	0.315473257501	0.113433745004	0.0530543892977	0.100594643419	0.000795477552503	0.00338620116562	0.000172378980963	1.36313033397e-06	5.8025943174e-06	0.000242379576847	6.13999537355e-07	3.19920392031e-06	7.39579641338e-06	1.67892003923e-07	1.1112073994e-06	0.315473257501	0.113433745004	0.0530543892977	3.92802346155e-06	0.00292607373535	9.9971959684
1200	0.333333333333	0.321550812104	0.122534390029	0.0563737059626	0.100555454304	0.000883863509974	0.00372640091085	0.000172311826495	1.51458851069e-06	6.38556060083e-06	0.000247592541553	6.9787346153e-07	3.60500483095e-06	8.01261227695e-06	2.03546011448e-07	1.33810963519e-06	0.321550812104	0.122534390029	0.0563737059626	3.9888819127e-06	0.0031635525645	9.99697597341
1260	0.35	0.327090811156	0.131749371238	0.059654420632	0.100482100996	0.000976168344614	0.00407795969032	0.000172186128267	1.67276207533e-06	6.98799172534e-06	0.000252625354398	7.87484073883e-07	4.03291649235e-06	8.64268969742e-06	2.44116953757e-07	1.59406644832e-06	0.327090811156	0.131749371238	0.059654420632	4.04396974325e-06	0.0034044999864	9.99675383642
1320	0.366666666667	0.332140308721	0.141065032779	0.0628932524622	0.100378648124	0.00107230502578	0.00444034579169	0.000172008851425	1.83750189217e-06	7.60897654865e-06	0.000257485542327	8.82835437252e-07	4.48227906558e-06	9.28557005871e-06	2.89944883468e-07	1.88068188852e-06	0.332140308721	0.141065032779	0.0628932524622	4.09386326316e-06	0.00364858735643	9.99652989789
1380	0.383333333333	0.336742027056	0.150469061554	0.0660874884537	0.100248431951	0.0011721918903	0.00481304505479	0.000171785712991	2.00866802322e-06	8.24763400589e-06	0.000262179502721	9.83925206494e-07	4.95241506869e-06	9.94081398383e-06	3.41370166949e-07	2.1995126265e-06	0.336742027056	0.150469061554	0.0660874884537	4.13907341317e-06	0.00389551861168	9.99630446376
1440	0.4	0.340934786381	0.159950340011	0.0692349015428	0.100094248843	0.00127575207684	0.0051955594441	0.000171521504818	2.18612875887e-06	8.9031106634e-06	0.000266712834695	1.09074529255e-06	5.44263440969e-06	1.06079984321e-05	3.98733096469e-07	2.55206660974e-06	0.340934786381	0.159950340011	0.0692349015428	4.18005440604e-06	0.00414502661448	9.99607780929
1500	0.416666666667	0.344753888391	0.169498817625	0.0723336820642	0.0999184853211	0.00138291301097	0.0055874059421	0.000171220316446	2.3697597356e-06	9.57457882239e-06	0.00027109056114	1.20328244856e-06	5.95223865718e-06	1.12867146491e-05	4.62373542733e-07	2.93980209264e-06	0.344753888391	0.169498817625	0.0723336820642	4.21721104393e-06	0.00439686997324	9.99585018245
1560	0.433333333333	0.348231458544	0.179105398305	0.0753823800457	0.0997232090065	0.001493605943	0.00598811568387	0.000170885690953	2.55944314393e-06	1.02612350359e-05	0.000275317278424	1.32151879087e-06	6.48052467192e-06	1.19765666876e-05	5.32630643009e-07	3.36412698427e-06	0.348231458544	0.179105398305	0.0753823800457	4.25090493881e-06	0.0046508302686	9.99562180679
1620	0.45	0.351396751819	0.18876184144	0.0783798563455	0.0995102332599	0.00160776553684	0.00639723327212	0.000170520735714	2.75506702393e-06	1.09622989351e-05	0.000279397258079	1.44543226508e-06	7.02678769964e-06	1.26771703143e-05	6.0984252083e-07	3.82639846601e-06	0.351396751819	0.18876184144	0.0783798563455	4.28145982254e-06	0.00490670962463	9.99539288407
1680	0.466666666667	0.354276426133	0.198460674669	0.0813252410565	0.099281163986	0.00172532950679	0.00681431622696	0.000170128202606	2.95652464284e-06	1.16770122865e-05	0.000283334516528	1.57499706469e-06	7.59032400736e-06	1.33881521772e-05	6.94346033909e-07	4.32792283891e-06	0.354276426133	0.198460674669	0.0813252410565	4.3091660968e-06	0.00516432857519	9.99516359649
1740	0.483333333333	0.356894787177	0.208195116756	0.0842178979231	0.099037434252	0.00184623829791	0.00723893453546	0.000169710547334	3.16371394729e-06	1.240463822e-05	0.000287132863475	1.71018400865e-06	8.17043313092e-06	1.41091491526e-05	7.86476547374e-07	4.86995556681e-06	0.356894787177	0.208195116756	0.0842178979231	4.33428474788e-06	0.00542352418375	9.99493410867
1800	0.5	0.359274007967	0.217959009216	0.0870573937638	0.0987803304855	0.00197043480547	0.00767067027507	0.00016926997432	3.37653708265e-06	1.31444605834e-05	0.000290795935989	1.85096088285e-06	8.76641979001e-06	1.48398078172e-05	8.86567729821e-07	5.45370148651e-06	0.359274007967	0.217959009216	0.0870573937638	4.35705072729e-06	0.00568414838166	9.99470456941
1860	0.516666666667	0.361434326035	0.227746755549	0.0898434720855	0.098511012779	0.00209786412917	0.00810911729127	0.000168808471498	3.59489997174e-06	1.38957833903e-05	0.000294327222922	1.99729274964e-06	9.37759551765e-06	1.55797840061e-05	9.94951369986e-07	6.08031515997e-06	0.361434326035	0.227746755549	0.0898434720855	4.37767588205e-06	0.00594606649543	9.9944751133
1920	0.533333333333	0.363394220784	0.237553267091	0.0925760302269	0.0982305310013	0.00222847335774	0.00855388091498	0.000168327837924	3.81871194583e-06	1.46579303359e-05	0.000297730082791	2.14914222888e-06	1.00032800436e-05	1.63287424352e-05	1.1119572121e-06	6.75090134769e-06	0.363394220784	0.237553267091	0.0925760302269	4.39635150375e-06	0.00620915593811	9.99424586204
1980	0.55	0.365170573248	0.24737391467	0.0952550994905	0.0979398378765	0.00236221138024	0.00900457770863	0.000167829706185	4.04788542117e-06	1.54302443615e-05	0.000301007757162	2.30646975348e-06	1.06428024648e-05	1.70863563679e-05	1.23791280821e-06	7.46651558478e-06	0.365170573248	0.24737391467	0.0952550994905	4.41325055326e-06	0.00647330504366	9.99401692574
2040	0.566666666667	0.366778810208	0.25720448534	0.0978808278141	0.0976397998188	0.00249902872048	0.00946083523294	0.000167315560969	4.28233561542e-06	1.62120872552e-05	0.00030416338094	2.46923380204e-06	1.12955022319e-05	1.78523073179e-05	1.3731433859e-06	8.22816484414e-06	0.366778810208	0.25720448534	0.0978808278141	4.42852960919e-06	0.00673841202641	9.99378840399
2100	0.583333333333	0.368233034354	0.267041143597	0.100453464616	0.0973312060741	0.00263887739173	0.00992229182832	0.000166786754729	4.52198029847e-06	1.7002839277e-05	0.000307199990476	2.63739111061e-06	1.19607299744e-05	1.86262847762e-05	1.51797173007e-06	9.03680827293e-06	0.368233034354	0.267041143597	0.100453464616	4.44233057917e-06	0.00700438405009	9.99356038686
2160	0.6	0.369546142009	0.276880396532	0.102973347503	0.0970147765533	0.00278171076878	0.0103885964066	0.000166244521102	4.76673957338e-06	1.78018988023e-05	0.000310120530141	2.81089686588e-06	1.26378481871e-05	1.94079859609e-05	1.67271807745e-06	9.8933579906e-06	0.369546142009	0.276880396532	0.102973347503	4.45478220756e-06	0.00727113639341	9.9933329558
2220	0.616666666667	0.370729929719	0.286719062491	0.105440890586	0.0966911686296	0.00292748347524	0.0108594082497	0.000165689986564	5.01653568317e-06	1.86086819767e-05	0.000312927857774	2.98970488118e-06	1.33262317934e-05	2.01971155825e-05	1.83770002277e-06	1.0798679938e-05	0.370729929719	0.286719062491	0.105440890586	4.4660014075e-06	0.00753859170064	9.99310618441
2280	0.633333333333	0.371795190871	0.296554242827	0.107856574182	0.0963609831007	0.00307615128401	0.0113343968131	0.000165124180641	5.27129284028e-06	1.9422622379e-05	0.000315624749317	3.1737677571e-06	1.4025268603e-05	2.09933856233e-05	2.0132324356e-06	1.17535947688e-05	0.371795190871	0.296554242827	0.107856574182	4.47609444086e-06	0.00780667930757	9.99288013921
2340	0.65	0.372751803353	0.306383296409	0.110220935732	0.0960247694608	0.00322767102915	0.0118132415325	0.000164548044948	5.53093707555e-06	2.02431706902e-05	0.000318213902827	3.36303702794e-06	1.47343596755e-05	2.17965151295e-05	2.19962738673e-06	1.27588787747e-05	0.372751803353	0.306383296409	0.110220935732	4.48515796574e-06	0.00807533463419	9.99265488024
2400	0.666666666667	0.373608809178	0.31620381659	0.112534561759	0.0956830305951	0.00338200052768	0.0122956316321	0.000163962441228	5.79539610423e-06	2.10697943648e-05	0.000320697942014	3.55746329541e-06	1.54529196021e-05	2.26062300121e-05	2.39719408356e-06	1.38152648388e-05	0.373608809178	0.31620381659	0.112534561759	4.49327996926e-06	0.00834449863672	9.99243046164
